,carat_encoded,cut_encoded,clarity_encoded,color_encoded,depth
175,1.0,1.0,3.0,5.0,64.6
176,1.0,2.0,3.0,2.0,61.3
177,1.0,2.0,3.0,3.0,63.7
178,1.0,3.0,3.0,1.0,62.7
179,1.0,4.0,3.0,1.0,62.2
180,1.0,4.0,5.0,1.0,61.6
181,1.0,4.0,5.0,1.0,61.5
182,1.0,4.0,2.0,3.0,61.8
183,1.0,4.0,2.0,3.0,60.7
184,1.0,1.0,3.0,3.0,59.7
185,1.0,4.0,2.0,3.0,60.5
186,1.0,2.0,4.0,0.0,62.7
187,1.0,3.0,3.0,2.0,62.1
188,1.0,2.0,3.0,2.0,62.8
189,1.0,1.0,3.0,2.0,63.8
190,1.0,1.0,3.0,2.0,57.8
191,1.0,4.0,3.0,1.0,62.1
192,1.0,3.0,3.0,1.0,61.1
193,1.0,3.0,2.0,1.0,60.0
194,1.0,3.0,2.0,1.0,61.2
195,1.0,3.0,2.0,1.0,62.7
196,1.0,3.0,2.0,1.0,61.0
197,1.0,3.0,2.0,1.0,61.0
198,1.0,4.0,2.0,1.0,61.4
199,1.0,3.0,2.0,2.0,61.8
200,1.0,2.0,2.0,1.0,59.9
201,1.0,3.0,2.0,1.0,61.3
202,1.0,3.0,2.0,1.0,60.5
203,1.0,1.0,3.0,1.0,64.1
204,1.0,0.0,1.0,4.0,67.9
205,1.0,3.0,2.0,2.0,62.4
206,1.0,2.0,2.0,1.0,63.2
207,1.0,4.0,6.0,2.0,61.3
208,1.0,2.0,3.0,4.0,60.8
209,1.0,4.0,2.0,1.0,61.7
210,1.0,2.0,3.0,2.0,63.6
211,1.0,3.0,3.0,3.0,61.2
212,1.0,4.0,3.0,2.0,62.1
213,1.0,4.0,4.0,3.0,61.5
214,1.0,4.0,4.0,3.0,61.4
215,1.0,3.0,0.0,2.0,61.8
216,1.0,4.0,2.0,4.0,62.2
217,1.0,4.0,2.0,4.0,61.2
218,1.0,2.0,4.0,4.0,60.6
219,1.0,2.0,5.0,0.0,57.5
220,1.0,4.0,3.0,3.0,61.3
221,1.0,1.0,4.0,1.0,57.2
222,1.0,3.0,4.0,1.0,62.9
223,1.0,2.0,1.0,0.0,63.1
224,1.0,4.0,2.0,0.0,60.8
225,1.0,3.0,2.0,0.0,62.7
226,1.0,3.0,2.0,0.0,62.8
227,1.0,0.0,2.0,3.0,55.1
228,1.0,3.0,2.0,2.0,61.4
229,1.0,4.0,7.0,2.0,62.2
230,1.0,2.0,3.0,2.0,63.0
231,1.0,2.0,4.0,4.0,63.7
232,1.0,2.0,3.0,2.0,63.6
233,1.0,4.0,6.0,2.0,62.0
234,1.0,4.0,4.0,0.0,61.5
235,1.0,2.0,6.0,4.0,60.5
236,1.0,2.0,4.0,5.0,61.1
237,1.0,4.0,5.0,5.0,61.8
238,1.0,1.0,3.0,0.0,63.3
239,1.0,1.0,4.0,3.0,59.4
240,1.0,4.0,2.0,2.0,62.5
241,1.0,0.0,0.0,1.0,64.5
242,1.0,3.0,1.0,4.0,62.7
243,1.0,1.0,2.0,2.0,64.2
244,1.0,1.0,2.0,1.0,63.7
245,1.0,3.0,2.0,1.0,60.4
246,1.0,3.0,2.0,1.0,61.8
247,1.0,2.0,1.0,6.0,63.2
248,1.0,4.0,1.0,3.0,61.6
249,1.0,4.0,2.0,1.0,61.6
250,1.0,4.0,7.0,3.0,60.9
251,1.0,1.0,1.0,3.0,61.0
252,1.0,3.0,5.0,1.0,62.1
253,1.0,3.0,6.0,1.0,60.9
254,1.0,3.0,4.0,4.0,61.3
255,1.0,0.0,1.0,6.0,65.8
256,1.0,4.0,7.0,3.0,61.3
257,1.0,3.0,6.0,5.0,58.8
258,1.0,4.0,1.0,2.0,62.3
259,1.0,3.0,4.0,2.0,60.1
260,1.0,3.0,4.0,2.0,61.8
261,1.0,2.0,2.0,5.0,63.6
262,1.0,4.0,2.0,1.0,62.2
263,1.0,3.0,2.0,1.0,59.2
264,1.0,3.0,2.0,1.0,61.8
265,1.0,4.0,2.0,1.0,61.3
266,1.0,3.0,4.0,2.0,62.1
267,1.0,3.0,4.0,2.0,60.7
268,1.0,3.0,5.0,4.0,59.6
269,1.0,4.0,4.0,2.0,62.2
270,1.0,2.0,2.0,3.0,60.6
271,1.0,2.0,3.0,1.0,62.9
272,1.0,1.0,3.0,1.0,64.1
273,1.0,4.0,3.0,5.0,61.3
274,1.0,4.0,3.0,4.0,62.7
275,1.0,2.0,2.0,1.0,63.2
276,1.0,2.0,3.0,1.0,60.7
277,1.0,3.0,5.0,5.0,61.9
278,1.0,4.0,1.0,2.0,62.6
279,1.0,1.0,4.0,2.0,60.7
280,1.0,3.0,1.0,0.0,62.0
281,1.0,3.0,7.0,5.0,63.0
282,1.0,3.0,3.0,4.0,58.0
283,1.0,3.0,3.0,3.0,62.9
284,1.0,3.0,1.0,5.0,58.2
285,1.0,1.0,2.0,1.0,63.2
286,1.0,2.0,1.0,4.0,61.3
287,1.0,2.0,2.0,1.0,60.3
288,1.0,3.0,2.0,0.0,62.7
289,1.0,3.0,2.0,0.0,61.3
290,1.0,3.0,2.0,0.0,61.6
291,1.0,4.0,5.0,2.0,61.9
292,1.0,4.0,6.0,0.0,61.7
293,1.0,4.0,3.0,3.0,61.9
294,1.0,4.0,4.0,4.0,61.8
295,1.0,4.0,4.0,4.0,61.6
296,1.0,0.0,6.0,3.0,58.8
297,1.0,3.0,1.0,2.0,61.0
298,1.0,0.0,1.0,1.0,67.4
299,1.0,2.0,3.0,4.0,63.4
300,1.0,4.0,4.0,5.0,61.5
301,1.0,2.0,1.0,1.0,58.0
302,1.0,4.0,1.0,2.0,62.4
303,1.0,4.0,2.0,0.0,61.9
304,1.0,2.0,7.0,3.0,61.6
305,1.0,1.0,1.0,5.0,62.2
306,1.0,3.0,4.0,1.0,62.2
307,1.0,2.0,1.0,5.0,61.3
308,1.0,4.0,2.0,3.0,62.3
309,1.0,4.0,2.0,3.0,61.8
310,1.0,2.0,2.0,4.0,62.5
311,1.0,3.0,4.0,3.0,62.9
312,1.0,4.0,4.0,5.0,61.8
313,1.0,4.0,7.0,3.0,62.3
314,1.0,0.0,4.0,3.0,59.0
315,1.0,4.0,0.0,2.0,60.7
316,1.0,4.0,3.0,2.0,62.5
317,1.0,3.0,3.0,2.0,62.7
318,1.0,4.0,2.0,4.0,60.4
319,1.0,3.0,3.0,2.0,62.1
320,1.0,1.0,3.0,2.0,57.8
321,1.0,1.0,3.0,2.0,63.8
322,1.0,3.0,3.0,2.0,62.8
323,1.0,3.0,0.0,3.0,62.2
324,1.0,3.0,1.0,6.0,62.3
325,1.0,2.0,1.0,3.0,59.9
326,1.0,4.0,7.0,2.0,61.9
327,1.0,3.0,3.0,1.0,63.0
328,1.0,3.0,4.0,2.0,62.4
329,1.0,2.0,3.0,2.0,62.9
330,1.0,2.0,2.0,1.0,63.5
331,1.0,4.0,3.0,3.0,61.3
332,1.0,4.0,2.0,1.0,60.6
333,1.0,1.0,4.0,3.0,65.1
334,1.0,3.0,3.0,2.0,62.6
335,1.0,3.0,3.0,2.0,58.0
336,1.0,3.0,4.0,3.0,62.4
337,1.0,3.0,3.0,3.0,61.3
338,1.0,3.0,3.0,3.0,59.9
339,1.0,3.0,3.0,3.0,60.8
340,1.0,2.0,4.0,3.0,63.5
341,1.0,4.0,1.0,0.0,62.2
342,1.0,2.0,3.0,1.0,63.8
343,1.0,2.0,3.0,1.0,64.0
344,1.0,2.0,1.0,1.0,62.5
345,1.0,2.0,2.0,0.0,62.3
346,1.0,4.0,4.0,2.0,61.7
347,1.0,2.0,4.0,2.0,62.2
348,1.0,4.0,3.0,4.0,61.5
349,1.0,4.0,2.0,0.0,61.0
350,1.0,4.0,2.0,0.0,62.2
351,1.0,4.0,2.0,0.0,61.5
352,1.0,0.0,2.0,5.0,67.3
353,1.0,3.0,3.0,2.0,61.7
354,1.0,3.0,3.0,2.0,61.9
355,1.0,4.0,1.0,1.0,61.8
356,1.0,0.0,6.0,1.0,58.7
357,1.0,3.0,3.0,2.0,62.5
358,1.0,4.0,3.0,3.0,62.8
359,1.0,0.0,3.0,2.0,61.1
360,1.0,1.0,3.0,3.0,64.0
361,1.0,2.0,2.0,3.0,62.5
362,1.0,2.0,6.0,4.0,60.6
363,1.0,4.0,2.0,2.0,61.6
364,1.0,2.0,4.0,2.0,62.2
365,1.0,2.0,4.0,2.0,60.0
366,1.0,3.0,1.0,6.0,61.9
367,1.0,2.0,3.0,4.0,62.8
368,1.0,2.0,4.0,2.0,62.0
369,1.0,0.0,0.0,3.0,66.4
370,1.0,2.0,3.0,3.0,63.4
371,1.0,4.0,5.0,1.0,60.9
372,1.0,2.0,2.0,0.0,63.1
373,1.0,2.0,2.0,2.0,63.1
374,1.0,3.0,1.0,0.0,59.2
375,1.0,3.0,2.0,2.0,60.7
376,1.0,0.0,0.0,2.0,64.6
377,1.0,2.0,4.0,2.0,61.8
378,1.0,2.0,4.0,2.0,59.9
379,1.0,4.0,1.0,0.0,61.7
380,1.0,1.0,4.0,2.0,62.8
381,1.0,1.0,2.0,3.0,62.7
382,1.0,2.0,2.0,2.0,63.4
383,1.0,2.0,2.0,0.0,63.5
384,1.0,0.0,3.0,6.0,65.7
385,1.0,0.0,1.0,5.0,68.1
386,1.0,2.0,4.0,3.0,63.0
387,1.0,2.0,3.0,2.0,59.5
388,1.0,1.0,2.0,1.0,63.5
389,1.0,2.0,3.0,2.0,61.7
390,0.0,3.0,2.0,5.0,62.7
391,0.0,3.0,2.0,5.0,62.8
392,0.0,4.0,2.0,5.0,62.4
393,0.0,3.0,2.0,5.0,61.0
394,0.0,2.0,2.0,5.0,63.1
395,0.0,4.0,2.0,5.0,60.7
396,0.0,3.0,2.0,4.0,60.9
397,0.0,3.0,2.0,4.0,60.1
398,0.0,3.0,2.0,4.0,62.9
399,0.0,2.0,2.0,4.0,63.3
400,0.0,1.0,2.0,4.0,63.8
401,0.0,4.0,2.0,4.0,62.9
402,0.0,2.0,2.0,4.0,63.4
403,0.0,1.0,2.0,5.0,63.9
404,0.0,4.0,1.0,4.0,61.4
405,0.0,2.0,4.0,1.0,61.9
406,0.0,2.0,4.0,1.0,62.4
407,0.0,2.0,2.0,2.0,61.8
408,0.0,4.0,3.0,4.0,61.5
409,0.0,4.0,3.0,4.0,60.4
410,0.0,4.0,4.0,5.0,61.8
411,0.0,4.0,4.0,5.0,62.0
412,0.0,4.0,4.0,3.0,62.3
413,0.0,4.0,4.0,2.0,61.6
414,0.0,4.0,2.0,3.0,60.6
415,0.0,2.0,0.0,1.0,58.4
416,0.0,2.0,3.0,2.0,61.4
417,0.0,4.0,3.0,5.0,61.9
418,0.0,4.0,3.0,3.0,62.0
419,0.0,4.0,4.0,1.0,61.5
420,1.0,2.0,3.0,2.0,62.3
421,1.0,2.0,3.0,2.0,60.9
422,1.0,4.0,2.0,0.0,62.4
423,1.0,0.0,2.0,6.0,55.0
424,1.0,3.0,3.0,1.0,58.6
425,1.0,4.0,6.0,2.0,62.0
426,1.0,3.0,1.0,3.0,59.8
427,1.0,2.0,2.0,1.0,63.4
428,1.0,1.0,3.0,5.0,64.3
429,1.0,3.0,2.0,1.0,62.2
430,1.0,4.0,2.0,1.0,61.7
431,1.0,3.0,2.0,1.0,61.1
432,1.0,2.0,6.0,0.0,61.5
433,1.0,2.0,1.0,2.0,58.5
434,1.0,3.0,4.0,3.0,61.7
435,1.0,4.0,2.0,4.0,60.4
436,1.0,4.0,2.0,4.0,61.4
437,1.0,4.0,2.0,4.0,61.5
438,1.0,4.0,2.0,4.0,61.4
439,1.0,0.0,3.0,6.0,65.0
440,1.0,0.0,1.0,2.0,56.0
441,1.0,3.0,1.0,4.0,60.2
442,1.0,3.0,3.0,1.0,58.3
443,1.0,0.0,1.0,1.0,53.1
444,1.0,3.0,0.0,3.0,60.3
445,1.0,2.0,5.0,5.0,61.4
446,1.0,4.0,5.0,3.0,60.1
447,1.0,1.0,4.0,0.0,63.4
448,1.0,3.0,2.0,2.0,61.5
449,1.0,4.0,1.0,4.0,62.7
450,1.0,4.0,2.0,4.0,62.5
451,1.0,3.0,2.0,1.0,61.3
452,1.0,4.0,5.0,5.0,60.2
453,1.0,4.0,3.0,1.0,62.7
454,1.0,3.0,3.0,1.0,62.3
455,1.0,4.0,5.0,2.0,61.5
456,1.0,3.0,2.0,1.0,59.2
457,1.0,3.0,2.0,1.0,61.8
458,1.0,4.0,2.0,1.0,61.3
459,1.0,3.0,2.0,1.0,61.4
460,1.0,4.0,3.0,6.0,62.8
461,1.0,1.0,2.0,1.0,62.8
462,1.0,3.0,3.0,1.0,62.4
463,1.0,3.0,3.0,1.0,59.3
464,1.0,3.0,3.0,1.0,63.0
465,1.0,3.0,0.0,4.0,61.3
466,1.0,3.0,1.0,2.0,59.3
467,1.0,4.0,2.0,4.0,61.0
468,1.0,4.0,4.0,1.0,62.9
469,1.0,3.0,4.0,1.0,59.6
470,1.0,3.0,3.0,2.0,61.8
471,1.0,3.0,4.0,1.0,62.7
472,1.0,0.0,1.0,4.0,65.3
473,1.0,2.0,4.0,3.0,63.8
474,1.0,4.0,4.0,4.0,62.3
475,1.0,1.0,4.0,2.0,59.7
476,1.0,1.0,1.0,2.0,64.3
477,1.0,4.0,4.0,3.0,62.9
478,1.0,4.0,2.0,1.0,62.0
479,1.0,3.0,3.0,1.0,61.6
480,1.0,4.0,6.0,1.0,61.9
481,1.0,3.0,2.0,1.0,61.3
482,1.0,1.0,2.0,1.0,63.6
483,1.0,3.0,2.0,1.0,59.6
484,1.0,3.0,2.0,1.0,62.2
485,1.0,3.0,2.0,0.0,61.7
486,1.0,2.0,2.0,1.0,63.2
487,1.0,3.0,4.0,1.0,60.8
488,1.0,3.0,3.0,1.0,60.3
489,1.0,3.0,3.0,1.0,60.9
490,1.0,3.0,3.0,1.0,62.4
491,1.0,3.0,3.0,1.0,60.2
492,1.0,4.0,5.0,2.0,62.0
493,1.0,4.0,6.0,5.0,60.8
494,1.0,4.0,2.0,2.0,62.1
495,1.0,3.0,2.0,0.0,62.7
496,1.0,3.0,2.0,0.0,61.3
497,1.0,3.0,2.0,0.0,60.2
498,1.0,4.0,2.0,0.0,60.7
499,1.0,1.0,3.0,6.0,64.0
500,1.0,4.0,2.0,0.0,60.2
501,1.0,3.0,3.0,1.0,61.5
502,1.0,3.0,3.0,1.0,62.6
503,1.0,4.0,2.0,0.0,59.7
504,1.0,1.0,2.0,1.0,61.4
505,1.0,4.0,2.0,0.0,62.5
506,1.0,4.0,2.0,0.0,61.8
507,1.0,3.0,3.0,1.0,60.7
508,1.0,3.0,3.0,2.0,60.6
509,1.0,4.0,2.0,0.0,61.4
510,1.0,2.0,1.0,0.0,62.8
511,1.0,1.0,2.0,5.0,63.8
512,1.0,3.0,3.0,1.0,62.3
513,1.0,4.0,5.0,1.0,61.3
514,1.0,0.0,1.0,4.0,65.8
515,1.0,4.0,2.0,1.0,60.5
516,1.0,3.0,3.0,0.0,61.2
517,1.0,4.0,5.0,5.0,62.1
518,1.0,1.0,4.0,1.0,63.1
519,1.0,4.0,1.0,2.0,62.4
520,1.0,3.0,1.0,1.0,60.8
521,1.0,3.0,4.0,3.0,62.2
522,1.0,3.0,2.0,4.0,60.0
523,1.0,2.0,4.0,3.0,62.0
524,1.0,3.0,2.0,4.0,62.5
525,1.0,3.0,0.0,6.0,60.2
526,1.0,0.0,1.0,4.0,61.3
527,1.0,3.0,4.0,1.0,62.6
528,1.0,1.0,4.0,1.0,57.2
529,1.0,3.0,1.0,5.0,62.2
530,1.0,3.0,4.0,1.0,62.2
531,1.0,2.0,3.0,0.0,63.3
532,1.0,3.0,4.0,1.0,59.4
533,1.0,2.0,1.0,5.0,63.5
534,1.0,3.0,2.0,2.0,60.8
535,1.0,4.0,0.0,2.0,60.7
536,1.0,2.0,2.0,0.0,62.3
537,1.0,1.0,3.0,0.0,64.0
538,1.0,3.0,5.0,4.0,62.6
539,1.0,4.0,6.0,4.0,61.6
540,1.0,4.0,6.0,4.0,62.3
541,1.0,4.0,1.0,0.0,60.6
542,1.0,3.0,1.0,4.0,61.6
543,1.0,3.0,4.0,2.0,62.2
544,1.0,1.0,1.0,1.0,63.7
545,1.0,4.0,6.0,1.0,62.0
546,1.0,4.0,4.0,2.0,61.7
547,1.0,3.0,1.0,1.0,61.9
548,1.0,3.0,1.0,1.0,60.2
549,1.0,2.0,3.0,1.0,62.7
550,1.0,2.0,2.0,4.0,61.7
551,1.0,4.0,0.0,2.0,60.7
552,1.0,4.0,6.0,2.0,60.9
553,1.0,4.0,6.0,2.0,61.8
554,1.0,4.0,3.0,5.0,62.1
555,1.0,3.0,2.0,3.0,60.6
556,1.0,2.0,1.0,1.0,60.8
557,1.0,4.0,2.0,1.0,62.3
558,1.0,4.0,2.0,1.0,61.4
559,1.0,3.0,2.0,1.0,62.1
560,1.0,4.0,2.0,3.0,61.8
561,1.0,2.0,3.0,2.0,62.5
562,1.0,2.0,1.0,5.0,62.8
563,1.0,3.0,5.0,3.0,62.1
564,1.0,3.0,2.0,3.0,63.0
565,1.0,4.0,2.0,4.0,62.5
566,1.0,3.0,4.0,2.0,62.2
567,1.0,1.0,2.0,6.0,64.3
568,1.0,2.0,3.0,5.0,62.0
569,1.0,2.0,7.0,1.0,61.0
570,1.0,2.0,3.0,0.0,59.6
571,1.0,4.0,3.0,0.0,61.0
572,1.0,4.0,5.0,2.0,61.7
573,1.0,4.0,1.0,4.0,62.5
574,1.0,4.0,2.0,2.0,60.7
575,1.0,4.0,3.0,3.0,62.2
576,1.0,4.0,3.0,4.0,62.8
577,1.0,2.0,6.0,0.0,59.9
578,1.0,4.0,6.0,2.0,61.4
579,1.0,4.0,3.0,5.0,61.8
580,1.0,2.0,2.0,6.0,63.4
581,1.0,0.0,1.0,3.0,65.3
582,1.0,4.0,1.0,1.0,60.7
583,1.0,4.0,4.0,2.0,61.2
584,1.0,4.0,5.0,2.0,61.9
585,1.0,4.0,3.0,1.0,61.5
586,1.0,4.0,3.0,1.0,62.8
587,1.0,4.0,2.0,1.0,61.0
588,1.0,3.0,3.0,2.0,59.6
589,1.0,2.0,2.0,4.0,60.7
590,1.0,1.0,3.0,1.0,62.8
591,1.0,3.0,4.0,1.0,62.6
592,1.0,4.0,4.0,1.0,61.8
593,1.0,4.0,2.0,2.0,59.8
594,1.0,2.0,2.0,4.0,60.9
595,1.0,0.0,2.0,2.0,64.9
596,1.0,3.0,4.0,2.0,58.8
597,1.0,3.0,3.0,2.0,62.3
598,1.0,3.0,3.0,2.0,61.7
599,1.0,3.0,4.0,3.0,62.6
600,1.0,3.0,3.0,2.0,59.4
601,1.0,2.0,2.0,1.0,63.5
602,1.0,3.0,3.0,2.0,60.9
603,1.0,3.0,3.0,2.0,59.5
604,1.0,3.0,4.0,3.0,63.0
605,1.0,2.0,2.0,1.0,60.0
606,1.0,4.0,4.0,2.0,61.5
607,1.0,4.0,4.0,2.0,61.6
608,1.0,4.0,4.0,2.0,62.1
609,1.0,3.0,4.0,2.0,59.1
610,1.0,3.0,4.0,2.0,59.0
611,1.0,3.0,4.0,2.0,60.5
612,1.0,4.0,4.0,2.0,62.4
613,1.0,4.0,3.0,3.0,61.8
614,1.0,4.0,3.0,1.0,62.1
615,1.0,4.0,4.0,3.0,61.3
616,1.0,3.0,5.0,3.0,60.3
617,1.0,3.0,4.0,2.0,59.2
618,1.0,3.0,3.0,3.0,59.3
619,1.0,3.0,4.0,2.0,62.7
620,1.0,2.0,4.0,4.0,61.0
621,1.0,2.0,1.0,2.0,59.8
622,1.0,4.0,2.0,2.0,61.0
623,1.0,3.0,3.0,2.0,59.3
624,1.0,4.0,1.0,0.0,61.9
625,1.0,3.0,1.0,2.0,61.4
626,1.0,3.0,6.0,4.0,59.2
627,1.0,3.0,3.0,2.0,60.3
628,1.0,2.0,4.0,0.0,63.4
629,1.0,2.0,2.0,0.0,63.9
630,1.0,4.0,1.0,2.0,61.7
631,1.0,4.0,1.0,2.0,62.3
632,1.0,2.0,1.0,2.0,59.7
